ID,SMILES,Kd,IC50,erk_IC50,Affinity,CNN_Pose_Score,CNN_Affinity
US_122,CN(C)C1CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,3417.4,3265.3,16666.7,-8.89,0.7018,8.817
US_123,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(cc2n1)-c1cccc2cccc(Cl)c12,785.7,754.4,,-11.27,0.8243,8.795
US_124,CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,22.7,8.6,11087.4,-10.24,0.6117,8.604
US_125,CC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,667.5,,-9.61,0.7047,8.735
US_126,CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,16.1,9.9,3470.6,-9.43,0.5693,8.575
US_127,CN(C)C1(C)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,864.1,250.9,16666.7,-8.65,0.6889,8.816
US_128,CCC1(N)CN(C1)c1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,500.6,,-9.74,0.6542,8.734
US_129,Fc1c(ncc2c(nc(OCCC3CC(F)(F)C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,4092.5,,-11.06,0.6262,8.746
US_130,Fc1c(ncc2c(nc(nc12)N1CC2(CCN2)C1)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,1647,,-8.78,0.7152,8.779
US_131,CN1CC(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)CC1=O,1553,423.9,16666.7,-11.17,0.7021,8.824
US_132,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,64.7,60.5,2558.7,-10.06,0.7383,8.81
US_133,CC1CCCc2cccc(-c3ncc4c(nc(OC[C@@H]5CCCN5C)nc4c3F)N3CC4CCC(C3)N4)c12,112.6,48.8,2048.8,-7.35,0.6417,8.673
US_135,OCC1CCC2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,2.1,4820.9,-10.41,0.7507,9.089
US_138,CO[C@H](C)COc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(Cl)c12,,8067.8,,-10.71,0.7384,8.711
US_139,Nc1cccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cc(O)cc3ccccc23)n1,25.4,113.3,5245.1,-11.62,0.7004,8.75
US_140,COc1cccnc1CCOc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cc(O)cc2ccccc12,5591.7,5161.4,,-10.72,0.5982,8.649
US_141,Nc1ccc(CCOc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(Cl)c23)cn1,,891.1,16666.7,-11.18,0.6908,8.777
US_142,Fc1c(ncc2c(nc(OC3CCc4[nH]ncc4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,13834,8846.4,,-11.4,0.513,8.726
US_143,Fc1c(ncc2c(nc(OC3CCc4cn[nH]c4C3)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,14933.6,4563.2,,-8.13,0.5617,8.729
