ID,SMILES
hop_52,C1[C@@H](F)CN(CCC2)[C@]12COC[C@H]3[NH2+][C@H](C)CC(=C3CCN(C[C@H]45)C[C@H](N5)CC4)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from CC1=C[C@H](C)[NH2+][C@@H](C)C1
hop_53,C#Cc1c(F)ccc(c12)cc(O)cc2Cc3cn(C)c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)[nH+]c(c4)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1cn(C)c(c12)c[nH+]cc2
hop_54,C#Cc1c(F)ccc(c12)cc(O)cc2[C@@H](CCC3)[C@@H](O)c(c34)[nH+]c(N(C[C@H]56)C[C@H](N6)CC5)cc4OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from c1cc[nH+]c(c12)[C@H](O)CCCC2
hop_55,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c3)ccc(c34)c(n(C)c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc(c1)ccc(c12)cn(C)c2
hop_56,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3)N(C[C@H]45)C[C@H](N5)CC4)c(c36)[S@](=O)C[C@@H](/C6=N/O)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1cccc(c12)[S@](=O)CCC\2=N\O
hop_57,C#Cc1c(F)ccc(c12)cc(O)cc2CC(C(=O)[C@H]3C)=C([C@H]34)C[C@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC=1C(=O)[C@H](C)[C@H](C12)CCCC2
hop_58,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c(cn3)C#N)c(c34)cc(c([O-])c4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc1c(C#N)cnc(c12)cc([O-])cc2
hop_59,C1[C@@H](F)CN(CCC2)[C@]12COc3n[nH+]c(c(c3C)N(C[C@H]45)C[C@H](N5)CC4)NCC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cc1cc(N)[nH+]nc1
hop_60,C#Cc1c(F)ccc(c12)cc(O)cc2C[C@@H](N(C)C3=O)c(c34)nc(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from O=C1N(C)[C@H](C)c(c12)nccc2
hop_61,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C3=NCC[N@H+](C[C@@H]3N(C[C@H]45)C[C@H](N5)CC4)C(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from C1=NCC[NH2+]CC1
hop_62,C1[C@@H](F)CN(CCC2)[C@]12COc(c(F)c3N(C[C@H]45)C[C@H](N5)CC4)c(c6c37)[nH]cc6[C@@H](CNC7=O)c8cc(O)cc(c89)ccc(F)c9C#C St 1 from c12c3c[nH]c1cc(F)cc2C(=O)NCC3
hop_63,C1[C@@H](F)CN(CCC2)[C@]12COc(cc(c3C)N(C[C@H]45)C[C@H](N5)CC4)n(c36)ncc6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from Cc1cnn(c12)cccc2C
hop_64,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)n3c(N(C[C@H]45)C[C@H](N5)CC4)c(C#N)c(c36)c(cc(n6)C)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1c[nH]c(c12)nc(C)cc2C
hop_65,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[n+](c3N(C[C@H]45)C[C@H](N5)CC4)cn(n3)CC(=O)c6cc(O)cc(c67)ccc(F)c7C#C St 1 from Cn1c[nH+]cn1
hop_66,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)c(c3N(C[C@H]45)C[C@H](N5)CC4)sc(c36)C(=O)[C@@H](CS6)c7cc(O)cc(c78)ccc(F)c8C#C St 1 from c1csc(c12)C(=O)CCS2
hop_67,C#Cc1c(F)ccc(c12)cc(O)cc2C\C(C)=C\3[C@H](NN[C@H]34)[C@@H](N(C)C(=O)N(C[C@H]56)C[C@H](N6)CC5)[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from CC(C)=C([C@H]12)[C@@H](CC1)NN2
hop_68,C1[C@@H](F)CN(CCC2)[C@]12COc(n(c34)cn[nH+]4)cc(N(C[C@H]56)C[C@H](N6)CC5)c3NS(=O)(=O)Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from [nH+]1ncn(c12)cccc2
hop_69,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)C[C@H]3[C@@H](OC[C@@H]([NH2+]3)C(=O)N(C[C@H]45)C[C@H](N5)CC4)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from C[C@@H]1[C@@H](C)OCC[NH2+]1
hop_70,C1[C@@H](F)CN(CCC2)[C@]12COC(=O)[C@@H](c(c34)[nH]cc4C#N)[C@@H](N(C[C@H]56)C[C@H](N6)CC5)CC[C@@H]3c7cc(O)cc(c78)ccc(F)c8C#C St 1 from N#Cc1c[nH]c(c12)CCCCC2
hop_71,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(c[nH]3)c(c34)c(C#N)c(cc4N(C[C@H]56)C[C@H](N6)CC5)OC[C@@]78N(C[C@H](F)C7)CCC8 St 2 from N#Cc1cccc(c12)[nH]cc2C
hop_72,C#Cc1c(F)ccc(c12)cc(O)cc2C(=O)CN(C3)C[C@H]([C@]34C)C[C@@H](N(C[C@H]56)C[C@H](N6)CC5)[C@@H]4OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from C1CC[C@@H]([C@@]12C)CN(C)C2
hop_73,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@]34C[C@@H](N(C[C@H]56)C[C@H](N6)CC5)C[C@@H](C3)N(C4)CC(=O)c7cc(O)cc(c78)ccc(F)c8C#C St 2 from CN(C1)[C@H](C[C@H]12)CCC2
hop_74,C#Cc1c(F)ccc(c12)cc(O)cc2Cc(cc3=O)[nH]c(c34)c(N(C[C@H]56)C[C@H](N6)CC5)n(n4)C(=O)OC[C@@]78N(C[C@H](F)C7)CCC8 St 1 from Cc([nH]1)cc(=O)c(c12)n[nH]c2
hop_75,C1[C@@H](F)CN(CCC2)[C@]12CO[C@@H](C[C@H](C3)N(C[C@H]45)C[C@H](N5)CC4)[C@H]([N@@H+]36)CCC[C@H]6Cc7cc(O)cc(c78)ccc(F)c8C#C St 1 from C1CC[C@H](C)[N@H+]([C@@H]12)CCCC2
hop_76,C1[C@@H](F)CN(CCC2)[C@]12CO[C@H](C3)C[C@@H](N(C[C@H]45)C[C@H](N5)CC4)[C@@H]([N@H+]36)CC[C@H]([C@@H]6C)c7cc(O)cc(c78)ccc(F)c8C#C St 3 from C1CC[C@H](C)[N@H+]([C@@H]12)CCCC2
hop_77,C1[C@@H](F)CN(CCC2)[C@]12COc3[nH+]c(N(C[C@H]45)C[C@H](N5)CC4)cn(c3=O)S(=O)(=O)Cc6cc(O)cc(c67)ccc(F)c7C#C St 1 from O=c1c[nH+]cc[nH]1
