ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_414,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2ccccc2Cl)C1,,873.2,,,6.772164636127918,,-11.70618,-1.00877,0.93261,0.59561,7.57246,0.3044
us_415,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cnccc2C(F)(F)F)C1,,2578.3,,,7.854885549885789,,-9.39493,-1.11525,0.42584,0.33422,7.32682,0.85588
us_416,CC(C)Oc1ccccc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,1946.5,,,7.573788172187936,,-11.6539,-1.05848,0.67869,0.62385,7.77597,0.08903
us_417,CC(C)Cc1ccccc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,594.7,,,6.388057093527749,,-12.63701,-1.20129,0.51702,0.78929,8.0518,0.06749
us_418,Fc1c(ncc2c(nc(OC[C@]34CCCN3[C@@H](Cn3cccn3)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,7.5,2741.5,,2.014904353874709,7.9162604984917415,-13.2535,-1.33319,0.55526,0.71996,8.08915,0.15922
us_419,F[C@H]1CN2CCC[C@@]2(COc2nc(N3CC4CCC(C3)N4)c3cnc(c(F)c3n2)-c2cccc3cccc(c23)C(F)(F)F)C1,,50.9,2776.1,,3.9298631200201117,7.928802347634811,-13.7129,-0.70181,0.79048,0.63647,8.13577,0.14236
us_420,CS(=O)(=O)NC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(c(F)c4n3)-c3cccc4cccc(Cl)c34)CCCN12,,20.0,7816.4,,2.9957327735538657,8.963979370765149,-13.33006,-1.01292,0.4212,0.70586,8.06998,0.24194
us_421,CC(C)c1ncccc1-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,7746.7,,,8.955022226505342,,-12.0438,-1.12284,0.23558,0.70879,7.49431,0.16442
us_422,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2CCC=C(c12)C(F)(F)F,,11.4,2357.8,,2.4336142325930474,7.7654842640992685,-13.66229,-0.84739,0.58174,0.6118,8.12893,0.15126
us_423,COCc1cccc2cccc(-c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N3CC4CCC(C3)N4)c12,,238.0,,,5.47227071568828,,-13.0255,-1.3279,0.73709,0.66106,7.89092,0.01108
