Index,Example,IUPAC,SMILES
54,54,"1-(7-(8-ethylnaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(C)C=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1)F
55,55,"1 -(7-(8-ethynylnaphthalen- 1 -yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol",C(#C)C=1C=CC=C2C=CC=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC(CCC1)(O)C)OCC12CCCN2CCC1)F
56,56,"8-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-4-(3-hydroxy-3-methylpiperidin-1- yl)pyrido[4,3-d]pyrimidin-7-yl)-1-naphthonitrile",FC1=C(N=CC2=C1N=C(N=C2N2CC(CCC2)(C)O)OCC21CCCN1CCC2)C=2C=CC=C1C=CC=C(C21)C#N
57,57,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,6-diazaspiro[3.5]nonan-2-one",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CC2(CC(N2)=O)CCC1)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
58,58,"6-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1C2CC(CC(C1)C2)O)OC[C@]21CCCN1C[C@@H](C2)F)F)O)F
59,59,"(3R,5R)-1-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-I-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidine-3,5-diol",Did not work
60,60,"4-(((7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)pyrrolidin-2-one",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)NCC1CC(NC1)=O)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
61,61,"4-(4-(2-amino-7,8-dihydro-4H-pyrazolo[l,5-a][l,4]diazepin-5(6H)-yl)-8-fluoro-2-(((2R,7aS)-2- fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy )pyrido[4, 3-d]pyrimidin-7-yl)-5-ethyl-6- fluoronaphthalen-2-ol",Did not work
62,62,"4-(4-(((1H-pyrrolo[2,3-b]pyridin-3-yl)methyl)amino)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro- 1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",N1C=C(C=2C1=NC=CC2)CNC=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)CC)F)O)F
63,63,"4-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-methyl-1,4-oxazepan-6-ol",C(C)C=1C(=CC=C2C=C(C=C(C12)C1=C(C=2N=C(N=C(C2C=N1)N1CCOCC(C1)(O)C)OC[C@]12CCCN2C[C@@H](C1)F)F)O)F
