Index,Example,IUPAC
64,64,"4-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-6-methy 1- 1 ,4-oxazepan-6-ol"
65,65,"1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d]pyrimidin-4-yl)-3-methylazepan-3-ol"
66,66,"1-(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(quinolin-8-yl)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
67,67,"1-(7-(2-aminobenzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
68,68,"1-(7-(benzo[d]thiazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3- d] pyrimidin-4-y l)-3-methy lpiperidin-3 -ol"
69,69,"l -(8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(naphthalen-1-yl)pyrido[4,3- d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
70,70,"N-((2-aminopyridin-3-yl)methyl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((hexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-amine"
71,71,"1-(7-(3-chloro-2-cyclopropyl-5-hydroxyphenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-3-methylpiperidin-3-ol"
72,72,"8-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,3,8-triazaspiro[5.5]undecan-2-one"
73,73,"7-(7-(8-ethyl-7-fluoro-3-hydroxynaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H- pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,7-diazaspiro[3.5]nonan-2-one"
