Example,IUPAC,SMILES
215,"4-(8-fluoro-4-(1-(hydroxymethyl)-3,8-diazabicyclo[3.2.1]octan-3-yl)-2-(((S)-1-methylpyrrolidin-2-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol bis(2,2,2-trifluoroacetate)",CN1CCC[C@H]1COc2nc(N3CC4CCC(CO)(C3)N4)c5cnc(c(F)c5n2)c6cc(O)cc7ccccc67.OC(=O)C(F)(F)F.OC(=O)C(F)(F)F
216,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol (racemic, trans)",Did not work
217,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((2-fluorobenzyl)oxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-2-ol",Oc1cc2ccccc2c(c1)c3ncc4c(nc(OCc5ccccc5F)nc4c3F)N6C[C@@H]7CC[C@H](C6)N7
218,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-(2-(tetrahydro-1H-pyrrolizin-7a(5H)-yl)ethyl)pyrido[4,3-d]pyrimidine",Fc1cccc2cccc(c3ncc4c(nc(CCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
219,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-methoxytetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis-hydrochloride",Cl.Cl.COC1CN2CCCC2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)C1
220,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-(1-methyl-1H-pyrazol-4-yl)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine tris-hydrochloride salt",Did not work
221,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-phenyltetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis-hydrochloride salt",Did not work
222,"(2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)tetrahydro-1H-pyrrolizin-7a(5H)-yl)methanol bis-TFA salt",Did not work
223,"7a-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-2-ol bis-2,2,2-trifluoroacetate",Did not work
224,"7a-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)hexahydro-1H-pyrrolizin-2-ol bis-hydrochloride",Cl.Cl.OC1CN2CCCC2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)C1
225,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-methoxytetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis-2,2,2-trifluoroacetate",Did not work
226,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis-hydrochloride",Cl.Cl.FC1CN2CCCC2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)C1
227,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((2-methyltetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis-hydrochloride",Cl.Cl.CC1CN2CCCC2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8cccc(Cl)c78)C1
228,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-2-((2,2-dimethyltetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-8-fluoropyrido[4,3-d]pyrimidine bis-2,2,2-trifluoroacetate",Did not work
229,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)-7-(2-(trifluoromethoxy)phenyl)pyrido[4,3-d]pyrimidine bis-hydrochloride",Cl.Cl.Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7ccccc7OC(F)(F)F
230,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(3-chloro-2-(trifluoromethoxy)phenyl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine bis(2,2,2-trifluoroacetate",Did not work
231,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynyl-3-methoxynaphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",COc1cc2cccc(C#C)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
232,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynyl-6-fluoronaphthalen-2-ol",Oc1cc2ccc(F)c(C#C)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
233,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(naphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",C1CN2CCCC2(C1)COc3nc4cc(ncc4c(n3)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8ccccc78
234,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
235,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-bromonaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc8cccc(Br)c78
236,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(8-methoxynaphthalen-1-yl)pyrido[4,3-d]pyrimidine",COc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
237,"8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-ol",Oc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
238,"(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)methanol",OCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
239,"2-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)ethan-1-ol",OCCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
240,"2-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)acetamide",NC(=O)Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
241,"3-(8-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)naphthalen-1-yl)prop-2-yn-1-amine",NCC#Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
242,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-(but-1-yn-1-yl)naphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",CCC#Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
243,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynylnaphthalen-2-ol",Oc1cc2cccc(C#C)c2c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
244,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoropyrido[4,3-d]pyrimidin-7-yl)-5-ethynylnaphthalen-2-ol",Oc1cc2cccc(C#C)c2c(c1)c3ncc4c(ncnc4c3F)N5C[C@@H]6CC[C@H](C5)N6
245,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-chloro-6-fluoronaphthalen-2-ol",Oc1cc2ccc(F)c(Cl)c2c(c1)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
246,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5,6-difluoronaphthalen-2-ol",Oc1cc2ccc(F)c(F)c2c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
247,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-(2,2-difluoroethyl)naphthalen-1-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",FC(F)Cc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
248,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-(2-fluoroethyl)naphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",FCCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
249,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5,6-dimethyl-1H-indazol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1cc2[nH]ncc2c(c1C)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
250,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(5,6-dimethyl-1H-indol-4-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1cc2[nH]ccc2c(c1C)c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
251,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-chloronaphthalen-2-ol",Oc1cc2cccc(Cl)c2c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
252,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethynyl-6-fluoronaphthalen-2-ol",Oc1cc2ccc(F)c(C#C)c2c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
253,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethyl-6-fluoronaphthalen-2-ol",CCc1c(F)ccc2cc(O)cc(c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
254,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(8-propylnaphthalen-1-yl)pyrido[4,3-d]pyrimidine",CCCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
255,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(8-(3-fluoropropyl)naphthalen-1-yl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",FCCCc1cccc2cccc(c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
256,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-4-methylphenol",Cc1ccc(O)cc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
257,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-1H-benzo[f]indazole",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7c8ccccc8cc9[nH]ncc79
258,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(5-(trifluoromethoxy)-1H-indazol-4-yl)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7c(OC(F)(F)F)ccc8[nH]ncc78
259,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorotetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-ethylnaphthalen-2-ol",CCc1cccc2cc(O)cc(c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8)c12
260,"(3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl (2-((4-hydroxybenzyl)oxy)ethyl)carbamate",CN1C[C@@H](C[C@H]1COc2nc(N3C[C@H]4CC[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)OC(=O)NCCOCc8ccc(O)cc8
261,"2-((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)ethanamine",NCCOc1nc(N2C[C@@H]3CC[C@H](C2)N3)c4cnc(c(F)c4n1)c5cccc6cccc(Cl)c56
262,"1-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)cyclohexanamine",NC1(CCCCC1)COc2nc(N3C[C@@H]4CC[C@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67
263,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-4-ethylphenol",CCc1ccc(O)cc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
264,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(2-fluorophenyl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1ccccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
265,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-3-fluoroaniline",Nc1cccc(F)c1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
266,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-4,6-dichloro-3-fluoroaniline",Nc1c(Cl)cc(Cl)c(F)c1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
267,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)phenol",Oc1ccccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
268,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-6-fluoro-N-methylaniline",CNc1c(F)cccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
269,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-N-ethyl-6-fluoroaniline",CCNc1c(F)cccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
270,"2-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-6-fluoroaniline",Nc1c(F)cccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
271,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)phenol",Oc1cccc(c1)c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
272,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(o-tolyl)pyrido[4,3-d]pyrimidine",Cc1ccccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
273,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(2-methoxyphenyl)pyrido[4,3-d]pyrimidine",COc1ccccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
274,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(3-chloro-2-methylphenyl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1c(Cl)cccc1c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
275,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2,3-dimethylphenyl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1cccc(c1C)c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
276,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2-chloro-3-methylphenyl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Cc1cccc(c1Cl)c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
277,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(2,3-dichlorophenyl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N5C[C@@H]6CC[C@H](C5)N6)c7cccc(Cl)c7Cl
278,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-(ethynyl-d)naphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine",Did not work
279,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-4-(prop-2-yn-1-yl)phenol",Oc1ccc(CC#C)c(c1)c2ncc3c(nc(OCC45CCCN4CCC5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7
280,"(3R,5S)-5-(((4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoropyrido[4,3-d]pyrimidin-2-yl)oxy)methyl)-1-methylpyrrolidin-3-yl (2-methoxyethyl)carbamate",COCCNC(=O)O[C@@H]1C[C@@H](COc2nc(N3C[C@H]4CC[C@@H](C3)N4)c5cnc(c(F)c5n2)c6cccc7cccc(Cl)c67)N(C)C1
281,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-7-(8-ethynyl-7-fluoronaphthalen-1-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",F[C@H]1CN2CCC[C@@]2(COc3nc(N4C[C@@H]5CC[C@H](C4)N5)c6cnc(c(F)c6n3)c7cccc8ccc(F)c(C#C)c78)C1
282,"4-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-fluoronaphthalen-2-ol",Oc1cc2cccc(F)c2c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
283,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-chloro-4-cyclopropylphenol",Oc1cc(Cl)c(C2CC2)c(c1)c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
284,"3-(4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-(((2R,7aS)-2-fluorohexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidin-7-yl)-5-chloro-4-(trifluoromethyl)phenol",Oc1cc(Cl)c(c(c1)c2ncc3c(nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)N6C[C@@H]7CC[C@H](C6)N7)C(F)(F)F
285,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-7-(2-(trans-2-fluorocyclopropyl)phenyl)-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)pyrido[4,3-d]pyrimidine",F[C@@H]1C[C@H]1c2ccccc2c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
286,"4-((1R,5S)-3,8-diazabicyclo[3.2.1]octan-3-yl)-8-fluoro-2-((hexahydro-1H-pyrrolizin-7a-yl)methoxy)-7-(2-((1S,2R)-2-methylcyclopropyl)phenyl)pyrido[4,3-d]pyrimidine",C[C@@H]1C[C@@H]1c2ccccc2c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N7C[C@@H]8CC[C@H](C7)N8
